,Tracking Number,Description/Basis for Appeal
879,EPA-R6-2014-003626,"I am writing to obtain information relating to the Consent Decree Between The United States and MOEX Offshore 2007 LLC relating to the deep-water Horizon Spill. MOEX funded 2 SEP projects in Texas the Big Tree Project which was conveyed to Texas Parks and Wildlife and an Acquisition of land on South Padre Island which was transferred to the US Fish & Wildlife Service to be added to the Laguna Atascosa Wildlife Refuge.

I would like to receive copies of all appraisals and conveyance documents relating to the acquisition of the South Padre Property by the Conservation Fund from the American Land Conservancy as well as all information relating to the Property's transfer from the Conservation Fund to the US Fish & Wildlife Service. Section 27 of the consent decree states:
27. SEP Completion Report. Within forty-five (45) days after the completion of the final SEP that the MOEX Entities propose as the collection of SEPs that will complete the performance required under Article VI of the Consent Decree, the MOEX Entities shall submit a SEP Completion Report to the United States and the affected States in accordance with Article
17
XII of this Consent Decree (Notices). The SEP completion Report shall contain the following information for each SEP:
a. 
A detailed description of the SEP as implemented (or confirmation that the previously-submitted description remains accurate);
b.
A description of any problems encountered in completing the SEP and the solutions thereto;
c.
Documentation of the deed, conservation easement or other appropriate instrument under state law transferring the SEP Property interest(s) to the designated Recipient and documentation of recordation in the relevant jurisdiction;
d. An itemized list of all Eligible SEP Cost expended;
e.
Certification that the SEP has been fully implemented pursuant to the provisions of this Decree;

Please contact me with any questions regarding this request."
880,EPA-R5-2013-000745,The description of this request is under Agency review.
881,EPA-R3-2013-002043,"Request a file review of the Action Manufacturing Co. site at 100 E. Erie Avenue, Philadelphia., PA.  This site was formerly owned by S.K.F. Manufacturing and is currently owned by St. Christopher's Hospital for Children with a portion leased back to Action Mfg."
882,EPA-HQ-2014-003118,"My organization would like to request copies of the following 27 MRID reports for DEET.  Please also send any Data Evaluation Records or Reports (DERs) associated with these MRIDs. We are requesting these reports for work on behalf of the Agency for Toxic Substances and Disease Registry (ATSDR)/Centers for Disease Control.  The project contact at ATSDR is Henry Abadin, phone: 770-488-3321, e-mail: Hga0@cdc.gov . 

00134359 U.S. Army Environmental Hygiene Agency. 1979. Preliminary Assessment of
Relative Toxicity of Insect Repellent N,N-diethyl-meta-toluamide. Special Study No.
75-51-0034,80. Appendix H: Guinea pig dermal sensitization study on N,N-diethylmeta-
toluamide (M-DEET).

40241702 Johnson, D.E. 1987. Evaluation of DEET in 90-day Subchronic Dermal Toxicity
Study in Rats. International Research and Development Corp., Study No.: IRDC-
555-003. June 5, 1987. Submitted to U.S. EPA by DEET Joint Venture/Chemical
Specialties Manufacturers Association.

40241703 Johnson, D.E. 1987. Evaluation of DEET in 90-day Oral Dose-Range Finding Study
in Rats. International Research and Development Corp., Study No.: IRDC-555-001.
June 1, 1987. Submitted to U.S. EPA by DEET Joint Venture/Chemical Specialties
Manufacturers Association.

40979001 Schardein, J.L. 1989. Evaluation of DEET in a Two-Generation
Reproduction/Fertility Study in Rats. International Research and Development Corp.,
Study No.: IRDC-555-004. January 23, 1989. Submitted to U.S. EPA by DEET
Joint Venture/Chemical Specialties Manufacturers Association.

Please find affirmations of non-multinational status individuals who may see the document attached.  If anyone else needs to see the document we will send additional non-multinational status affirmations as needed to Mr. Earl Ingram (Ingram.Earl@epa.gov).  Please contact me with any questions.  Thank you."
883,DOC-NOAA-2014-000478,"Dear Sir or Madam:

Pursuant to the federal Freedom of Information Act, I request copies of any investigations involving, complaints regarding, and log of correspondence with Congressman William Steven Southerland.

As you know, public records law provides that if portions of a document are exempt from release, the remainder must be segregated and disclosed. While I expect that you will send me all non-exempt portions of the records I have requested, I respectfully reserve the right to challenge your decision to withhold any materials.

If possible, I would prefer documents sent via e-mail or fax."
884,EPA-R2-2015-000698,"We are requesting records related recent inspections done at Nulife Glass, located at 3213 Middle Rd, Dunkirk, NY. According to the ECHO database an on-site \Compliance Evaluation Inspection\"" was done on 5/13/2014. We are requesting a copy of the resulting report and related correspondence in regards to this inspection between Nulife and EPA; presumably this correspondence would be in e-mail form dated from a month or so before the inspection and a few months after the inspection. If there are any Notices of Violation or Compliance those would be requested as well. Thanks!"""
885,EPA-R10-2014-004334,"Request to Review Documents at the EPA Region 6 Offices and/or to have the documents be provided electronically re Portland Harbor Superfund Site re:
(1) PRP Freightliner Corporation/Daimler Trucks North America (RM8.3) (ECS1#115 and 2366) CERCLA 104(E) Response, supporting documents including all documents from SDMS file 11.3.22;
(2) PRP Freightliner Parts  CERCLA 104(E) Response, supporting documents including all documents from SDMS file 11.3.23; and
(3) Table of Contents and/or Index to Portland Harbor Site File
Thank you in advance for your attention to this request.  Regards, Mary"
886,CBP-2014-013731,"Any records, e-mail communications, CD rom, medial  between August, 2009 and the present"
887,EPA-R2-2013-006466,120 West 30th Street in NYC
888,EPA-HQ-2013-009094,"All Releasable data and DERs associated with:
MRID 45511206 Young, D. (2001) Product Performance Evaluation of Fly Repellent Ac
         tivity of 65% Permethrin Applied at the Rates of 6 and 12 ml and 45
         % Permethrin Applied at Rates of 9 and 12 ml on Horses: SHP-2002 A 
         Spot on for Biting Fly Protection for Horses: Lab Project Number: S
         HCA-01E-0801: 72969-E-5.  Unpublished study prepared by Young Veter
         inary Research Services.  20 p."
889,EPA-R5-2013-002821,"I'm requesting USEPA's files on two sites:
1) Pullman Factory, 130th Street and Indiana, Chicago, IL (CERCLIS, ILD981959208)
2) Illinois Centeral RR Tracks (also possibly Lake Calumet Smelting Co.), 119th Street, East of IL Central Tracks, CHicago, IL (CERCLIS-NFRAP, ILD980677645)
3) Lake Calumet Quad, 810 E. 124th Street, Chicago, IL (CERCLIS-NFRAP, ILD980606362)"
890,EPA-R3-2014-001705,"Pursuant to the Freedom of Information Act (?FOIA?), I I hereby request the records below relating to the Energy Answers waste-to-energy incinerator at 1701 East Patapsco Avenue in Baltimore, Maryland, 21226 (?Energy Answers Incinerator?).  

(1)	Any and all records from January 1, 2013 to the present relating to any commencement of construction on the Energy Answers Incinerator, including but not limited to:

a.	Any contracts and/or agreements entered into by Energy Answers Baltimore, LLC, Energy Answers International, LLC, or any consultants acting on behalf of either of the aforementioned companies (collectively ?Energy Answers?) for on-site construction services;
b.	Any notifications by Energy Answers regarding commencement of construction of the Energy Answers Incinerator; and/or
c.	Any communications regarding commencement of construction of the Energy Answers Incinerator. 

(2)	Any and all records pertaining to Energy Answer? compliance with the  requirements of 40 C.F.R. § 60.57b relating to a materials separation plan, including but not limited to, including but not limited to any determination by EPA   that Energy Answers has or has not complied with the materials separation plan requirements of 40 C.F.R. § 60.57b. 

(3)	Any and all information relating to emissions offsets obtained for the Energy Answers Incinerator, as required under Condition A-2 of its Certificate of Public Convenience and Necessity (?CPCN?). 

For purposes of this request, the term ?records? means information of any kind, including, but not limited to, documents (handwritten, typed, electronic or otherwise produced, reproduced, or stored), letters, e-mails, facsimiles, memoranda, correspondence, notes, databases, drawings, graphs, charts, photographs, minutes of meetings, electronic and magnetic recordings of meetings, and any other compilation of data from which information can be obtained."
891,EPA-R5-2013-002850,"For the Wood River Refinery (900 S CENTRAL AVE ROXANA, IL 62084) and a five mile radius thereof, from 1980 to the present:
a. All documents or communications with any individual or entity concerning any environmental contamination
investigation, including any spill, leak, or emission of benzene, LNAPL or other hydrocarbons.
b. Any regulatory or enforcement action including permits, consent orders, investigations or remediation.
c. Documents, including but not limited to maps, sufficient to show the existence and precise location of pumping equipment, pipelines, storage tanks.
d. Any records concerning spills or discharges of pollutants.
e. Any environmental studies, assessments or reports."
